Src IP,Src Port,Dst IP,Dst Port,Timestamp,Flow Duration
77.72.83.21,47385,172.31.64.115,3389,20/02/2018 01:02:54,1686544
172.31.64.115,54017,172.31.0.2,53,20/02/2018 01:04:03,5940
172.31.64.115,53499,172.31.0.2,53,20/02/2018 01:04:03,41614
146.0.74.132,61522,172.31.64.115,3389,20/02/2018 01:10:17,1637752
146.0.74.132,62576,172.31.64.115,3389,20/02/2018 01:12:53,1650319
172.31.64.115,59792,172.31.0.2,53,20/02/2018 01:14:50,1882
146.0.74.132,63621,172.31.64.115,3389,20/02/2018 01:15:34,1654487
77.72.83.21,50796,172.31.64.115,3389,20/02/2018 01:16:00,3172104
77.72.83.21,7892,172.31.64.115,3389,20/02/2018 01:20:23,3347553
146.0.74.132,49318,172.31.64.115,3389,20/02/2018 01:20:52,1639879
77.72.83.21,33836,172.31.64.115,3389,20/02/2018 01:24:54,1688010
146.0.74.132,51361,172.31.64.115,3389,20/02/2018 01:26:52,1650608
77.72.83.21,56808,172.31.64.115,3389,20/02/2018 01:29:29,2008734
172.31.64.115,49356,172.31.0.2,53,20/02/2018 01:31:07,1169
146.0.74.132,54384,172.31.64.115,3389,20/02/2018 01:34:33,1633741
146.0.74.132,55376,172.31.64.115,3389,20/02/2018 01:37:28,1644941
172.31.64.115,53802,172.31.0.2,53,20/02/2018 01:39:56,41430
172.31.64.115,49220,172.31.0.2,53,20/02/2018 01:39:56,93755
172.31.64.115,53755,172.31.0.2,53,20/02/2018 01:39:56,97699
172.31.64.115,64340,172.31.0.2,53,20/02/2018 01:39:57,18228
172.31.64.115,65402,172.31.0.2,53,20/02/2018 01:39:57,24588
172.31.64.115,59079,172.31.0.2,53,20/02/2018 01:39:57,153229
172.31.64.115,50744,172.31.0.2,53,20/02/2018 01:39:57,103371
172.31.64.115,56555,172.31.0.2,53,20/02/2018 01:39:57,48185
172.31.64.115,58045,172.31.0.2,53,20/02/2018 01:39:57,1378
172.31.64.115,65185,172.31.0.2,53,20/02/2018 01:39:57,350
172.31.64.115,63901,172.31.0.2,53,20/02/2018 01:39:58,479
172.31.64.115,64390,172.31.0.2,53,20/02/2018 01:39:58,810
172.31.64.115,57686,172.31.0.2,53,20/02/2018 01:39:58,20925
172.31.64.115,57542,172.31.0.2,53,20/02/2018 01:39:58,70794
172.31.64.115,55873,172.31.0.2,53,20/02/2018 01:39:59,1305
172.31.64.115,52270,172.31.0.2,53,20/02/2018 01:39:59,29062
172.31.64.115,62760,172.31.0.2,53,20/02/2018 01:39:59,1110
172.31.64.115,59428,172.31.0.2,53,20/02/2018 01:39:59,31036
172.31.64.115,52960,172.31.0.2,53,20/02/2018 01:39:59,1313
172.31.64.115,53015,172.31.0.2,53,20/02/2018 01:39:59,518
172.31.64.115,64353,172.31.0.2,53,20/02/2018 01:39:59,326
172.31.64.115,62840,172.31.0.2,53,20/02/2018 01:39:59,1946
172.31.64.115,53198,172.31.0.2,53,20/02/2018 01:39:59,1167
172.31.64.115,56661,172.31.0.2,53,20/02/2018 01:40:00,290
172.31.64.115,52219,172.31.0.2,53,20/02/2018 01:40:00,1318
172.31.64.115,49621,172.31.0.2,53,20/02/2018 01:40:00,328
172.31.64.115,61308,172.31.0.2,53,20/02/2018 01:40:01,563
