id,vnf_set,latency_com,relia_com,data_volumn,source_node,des_node
0,"4, 2",155,0.855874148,1.7,8,2
1,"4, 6",169,0.826540415,1.2,4,6
2,"3, 1",123,0.971008848,0.9,5,1
3,"2, 5",153,0.900961818,1.9,9,10
4,"5, 3",151,0.992656593,1.9,9,8
5,"4, 3",148,0.936574139,1,9,2
6,"3, 2",128,0.84571416,1.8,6,8
7,"2, 3",123,0.832624392,1.4,0,3
8,"5, 6",129,0.947293318,1.3,1,6
9,"3, 5",158,0.848224997,1.5,5,10
10,"6, 2",125,0.913653947,1.8,7,3
11,"3, 2",143,0.865941824,0.9,3,1
12,"4, 3",153,0.848620806,0.9,2,0
13,"1, 6",141,0.800064334,1.2,0,2
14,"1, 3",147,0.968457108,1.1,6,4
15,"3, 1",131,0.806320888,1.6,9,8
16,"3, 4",149,0.972020755,0.8,4,1
17,"6, 2",144,0.912938556,1.8,4,3
18,"4, 2",151,0.896300965,0.9,1,2
19,"3, 6",126,0.800149945,1.2,5,3
20,"4, 2",132,0.852286605,1.8,3,2
